Synonym,Original_drug
Escherichia coli L-asparaginase,Asparaginase
L-asparaginase,Asparaginase
L-asparagine amidohydrolase,Asparaginase
rTSH,Thyrotropin Alfa
Thyroid stimulating hormone,Thyrotropin Alfa
Thyrotrophin-alfa,Thyrotropin Alfa
Thyrotrophin-alpha,Thyrotropin Alfa
Thyrotropin,Thyrotropin Alfa
Thyrotropin-a,Thyrotropin Alfa
Thyrotropin-alpha,Thyrotropin Alfa
Thytrophin,Thyrotropin Alfa
TSH,Thyrotropin Alfa
Antihemophilic factor (recombinant),Antihemophilic factor  human recombinant
Antihemophilic Factor (Recombinant)  Plasma/Albumin-Free Method,Antihemophilic factor  human recombinant
Antihemophilic factor recombinant,Antihemophilic factor  human recombinant
Antihemophilic factor  recombinant,Antihemophilic factor  human recombinant
Antihemophilic factor recombinant,Antihemophilic factor  human recombinant
Factor VIII (rDNA),Antihemophilic factor  human recombinant
Factor VIII (Recombinant),Antihemophilic factor  human recombinant
Factor VIII recombin,Antihemophilic factor  human recombinant
Factor VIII  recombinant,Antihemophilic factor  human recombinant
Human Factor VIII (Recombinant),Antihemophilic factor  human recombinant
Human factor VIII recombinant,Antihemophilic factor  human recombinant
rAHF,Antihemophilic factor  human recombinant
Recombinant antihemophilic factor VIII,Antihemophilic factor  human recombinant
ICIL-1RA,Anakinra
IL-1ra,Anakinra
IL-1RN,Anakinra
IL1 inhibitor,Anakinra
Interleukin-1 receptor antagonist protein precursor,Anakinra
IRAP,Anakinra
Bacillus brevis gramicidin D,Gramicidin D
Gramicidin,Gramicidin D
Gramicidin A,Gramicidin D
Gramicidin B,Gramicidin D
Gramicidin C,Gramicidin D
Gramicidine,Gramicidin D
Human IGG,Immune Globulin Human
Human Immunoglobulin G,Immune Globulin Human
Human Normal Immunoglobulin,Immune Globulin Human
Immune globulin (human),Immune Globulin Human
Immune Globulin Intravenous,Immune Globulin Human
Immune Globulin Subcutaneous,Immune Globulin Human
Immunoglobulin G (human),Immune Globulin Human
Immunoglobulin G  Human,Immune Globulin Human
Intravenous Immunoglobulin,Immune Globulin Human
IVIg,Immune Globulin Human
Anisoylated plasminogen streptokinase activator complex,Anistreplase
APSAC,Anistreplase
High molecular weight insulin human,Insulin Human
Human insulin,Insulin Human
human insulin (rDNA),Insulin Human
Insulin (human),Insulin Human
Insulin human ,Insulin Human
Insulin human [rDNA origin],Insulin Human
Insulin Human Regular,Insulin Human
Insulin human regular (rDNA),Insulin Human
Insulin human  rDNA origin,Insulin Human
Insulin recombinant human,Insulin Human
Insulin recombinant purified human,Insulin Human
Insulin regular,Insulin Human
Insulin  human,Insulin Human
Regular Insulin  human,Insulin Human
TNK-tPA,Tenecteplase
Human menopausal gonadotrophin,Menotropins
Menotrophin,Menotropins
Menotropin,Menotropins
Menotropins (FSH;LH),Menotropins
IFN-gamma-1b,Interferon gamma-1b
Interferon gamma-1b  recombinant,Interferon gamma-1b
Interferon gamma-2a,Interferon gamma-1b
Interferon alfa-2a,Interferon Alfa-2a  Recombinant
Interferon alfa-2a (recombinant),Interferon Alfa-2a  Recombinant
Interferon alfa-2a  recombinant,Interferon Alfa-2a  Recombinant
Interferon alfa-2a recombinant,Interferon Alfa-2a  Recombinant
Interferon alpha-2a,Interferon Alfa-2a  Recombinant
Interferon-alfa-2a,Interferon Alfa-2a  Recombinant
Recombinant human interferon alfa-2a,Interferon Alfa-2a  Recombinant
Recombinant human interferon-alfa-2a,Interferon Alfa-2a  Recombinant
rIFN-alpha-2a,Interferon Alfa-2a  Recombinant
SH-polypeptide-46,Interferon Alfa-2a  Recombinant
1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin,Desmopressin
1-deamino-8-D-arginine vasopressin,Desmopressin
1-Desamino-8-D-arginine vasopressin,Desmopressin
DDAVP,Desmopressin
Desmopresina,Desmopressin
Desmopressin,Desmopressin
Desmopressine,Desmopressin
Desmopressinum,Desmopressin
Coagulation factor VIIa,Coagulation factor VIIa Recombinant Human
Coagulation factor VIIa (recombinant),Coagulation factor VIIa Recombinant Human
Eptacog alfa,Coagulation factor VIIa Recombinant Human
Eptacog alfa (activated),Coagulation factor VIIa Recombinant Human
rFVIIa,Coagulation factor VIIa Recombinant Human
Adipogenesis inhibitory factor,Oprelvekin
AGIF,Oprelvekin
IL-11,Oprelvekin
Interleukin-11 precursor,Oprelvekin
FGF-7,Palifermin
Fibroblast growth factor- 7,Palifermin
HBGF-7,Palifermin
Keratinocyte growth factor precursor,Palifermin
KGF,Palifermin
Glucagon,Glucagon recombinant
Glucagon (recombinant dna origin),Glucagon recombinant
Glucagon  human,Glucagon recombinant
Glucagon  porcine,Glucagon recombinant
Glucagone,Glucagon recombinant
Glucagonum,Glucagon recombinant
125-L-serine-2-133-interleukin 2 (human reduced),Aldesleukin
Interleukin-2 aldesleukin,Aldesleukin
Interleukin-2(2-133) 125-ser,Aldesleukin
Recombinant interleukin-2 human,Aldesleukin
Botulinum neurotoxin type B precursor,Botulinum Toxin Type B
BTX-B,Botulinum Toxin Type B
RimabotulinumtoxinB,Botulinum Toxin Type B
ICSH,Lutropin alfa
Insterstiial cell-stimulating hormone,Lutropin alfa
LH,Lutropin alfa
LH-B,Lutropin alfa
LSH- beta,Lutropin alfa
LSH-B,Lutropin alfa
Luteinizing hormone,Lutropin alfa
Luteinizing hormone beta subunit,Lutropin alfa
Lutrophin,Lutropin alfa
Lutropin alpha,Lutropin alfa
Lutropin beta chain precursor,Lutropin alfa
Outer surface protein A precursor,OspA lipoprotein
Insulin lispro (genetical recombination),Insulin Lispro
Insulin lispro (rDNA origin),Insulin Lispro
Insulin lispro protamine,Insulin Lispro
Insulin lispro protamine recombinant,Insulin Lispro
Insulin lispro recombinant,Insulin Lispro
Insulin lispro human/rDNA,Insulin Lispro
Insulin lispro protamine/rDNA,Insulin Lispro
Insulin Glargine (rDNA origin),Insulin Glargine
Insulin glargine recombinant,Insulin Glargine
Clostridium histolyticum enzymes,Collagenase clostridium histolyticum
Collagenase,Collagenase clostridium histolyticum
Urate oxidase,Rasburicase
Uricase,Rasburicase
Cetrorelixum,Cetrorelix
Growth hormone,Somatotropin
Growth hormone (human),Somatotropin
hGH,Somatotropin
Human growth hormone,Somatotropin
Recombinant human growth hormone,Somatotropin
rhGH,Somatotropin
Somatotropin (human),Somatotropin
Somatotropin human,Somatotropin
Somatotropin human growth hormone,Somatotropin
Somatropin,Somatotropin
Somatropin (rDNA origin),Somatotropin
Somatropin (recombinant DNA origin),Somatotropin
Somatropin [rDNA origin],Somatotropin
Somatropin recombinant,Somatotropin
Somatropin(recombinant DNA origin),Somatotropin
7.00E+03,Abciximab
7E3 antibody,Abciximab
antiGPIIBIIIa,Abciximab
C7E3,Abciximab
Activated protein C,Drotrecogin alfa
Blood coagulation factor XIV (human),Drotrecogin alfa
Drotrecogin alfa (activated),Drotrecogin alfa
Drotrecogin alfa (activated)  lyophilized,Drotrecogin alfa
Drotrecogin alfa activated,Drotrecogin alfa
Drotrecogin alfa  activated,Drotrecogin alfa
Drotrecogin-alfa,Drotrecogin alfa
Recombinant human activated protein C (rH-APC),Drotrecogin alfa
Indium (111In) satumomab pendetide,Indium In-111 satumomab pendetide
Indium In 111 satumomab pendetide,Indium In-111 satumomab pendetide
Indium-111 satumomab pendetide,Indium In-111 satumomab pendetide
Alfa1 antitrypsin,Alpha-1-proteinase inhibitor
Alpha 1-antitrypsin,Alpha-1-proteinase inhibitor
Alpha 1-Proteinase Inhibitor,Alpha-1-proteinase inhibitor
Alpha 1-proteinase inhibitor (human),Alpha-1-proteinase inhibitor
Alpha 1-proteinase inhibitor  human,Alpha-1-proteinase inhibitor
Alpha-1 protease inhibitor,Alpha-1-proteinase inhibitor
Alpha-1 proteinase inhibitor (human),Alpha-1-proteinase inhibitor
Alpha-1-antiproteinase,Alpha-1-proteinase inhibitor
Alpha-1-antitrypsin,Alpha-1-proteinase inhibitor
Alpha-1-proteinase Inhibitor (human),Alpha-1-proteinase inhibitor
Alpha-1-proteinase inhibitor human,Alpha-1-proteinase inhibitor
Alpha-1-proteinase Inhibitor  Human,Alpha-1-proteinase inhibitor
Alpha-1-proteinase inhibitor human,Alpha-1-proteinase inhibitor
Alpha1-proteinase Inhibitor,Alpha-1-proteinase inhibitor
Alpha1-proteinase inhibitor (human),Alpha-1-proteinase inhibitor
alpha1-proteinase inhibitor human,Alpha-1-proteinase inhibitor
API,Alpha-1-proteinase inhibitor
Peg-asparaginase,Pegaspargase
Peg/L-asparaginase,Pegaspargase
Interferon beta 1-a,Interferon beta-1a
Interferon beta 1a,Interferon beta-1a
Interferon beta-1a (recombinant human),Interferon beta-1a
Interferon beta-1a recombinant,Interferon beta-1a
Interferon-beta-1a,Interferon beta-1a
Adenosine aminohydrolase,Pegademase bovine
Adenosine deaminase,Pegademase bovine
Albumin (human),Human Serum Albumin
Albumin human,Human Serum Albumin
Albumin microspheres  human,Human Serum Albumin
Albumin  blood,Human Serum Albumin
Albumin  human,Human Serum Albumin
Human albumin,Human Serum Albumin
Microspheres of human albumin,Human Serum Albumin
Serum albumin,Human Serum Albumin
Integrelin,Eptifibatide
Intrifiban,Eptifibatide
Follicle stimulating hormone,Follitropin
Follitrophin alfa,Follitropin
Follitrophin alpha,Follitropin
Follitrophin beta,Follitropin
Follitropin alfa,Follitropin
Follitropin alfa/beta,Follitropin
Follitropin alpha,Follitropin
Follitropin beta,Follitropin
Follitropin delta,Follitropin
Follitropin gamma,Follitropin
Follotropin recombinant,Follitropin
FSH,Follitropin
FSH alpha,Follitropin
FSH-a,Follitropin
FSH-b,Follitropin
FSH-beta,Follitropin
Recombinant human follicle stimulating hormone beta,Follitropin
Recombinant human follicle-stimulating hormone (r-HFSH),Follitropin
rFSH-alpha,Follitropin
Vasopressin  unspecified,Vasopressin
Interferon beta 1b (recombinant),Interferon beta-1b
Interferon beta-1b recombinant,Interferon beta-1b
Interferon-beta-1b,Interferon beta-1b
Recombinant interferon beta-1b,Interferon beta-1b
CIFN,Interferon alfacon-1
consensus interferon,Interferon alfacon-1
IFN Alfacon-1,Interferon alfacon-1
Interferon Consensus  Methionyl,Interferon alfacon-1
methionyl interferon consensus,Interferon alfacon-1
methionyl-interferon-consensus,Interferon alfacon-1
rCon-IFN,Interferon alfacon-1
Recombinant Consensus Interferon,Interferon alfacon-1
Recombinant methionyl human consensus interferon,Interferon alfacon-1
HYAL-1,Hyaluronidase
Hyaluronidase (glycoprotein  sheep testis isoenzyme),Hyaluronidase
Hyaluronidase (ovine),Hyaluronidase
Hyaluronidase (sheep testis isoenzyme),Hyaluronidase
Hyaluronidase 1 precursor,Hyaluronidase
Hyaluronidase PH-20,Hyaluronidase
Hyaluronidase  ovine,Hyaluronidase
Ovine hyaluronidase,Hyaluronidase
Sperm adhesion molecule 1,Hyaluronidase
Sperm surface protein PH-20,Hyaluronidase
Insulin (pork),Insulin Pork
Insulin porcine,Insulin Pork
Insulin purified porcine,Insulin Pork
Insulin purified pork,Insulin Pork
Insulin  porcine,Insulin Pork
Insulin  regular  pork,Insulin Pork
Porcine insulin,Insulin Pork
Anti HER2,Trastuzumab
AntiCD20,Rituximab
chimeric mouse-human antiCD25,Basiliximab
Anti-CD3,Muromonab
Muromonab-CD3,Muromonab
Digitalis antitoxin,Digoxin Immune Fab (Ovine)
Digoxin Immune Fab  Ovine,Digoxin Immune Fab (Ovine)
Digoxin-specific Antibody Fragments,Digoxin Immune Fab (Ovine)
Ovine digoxin immune fab,Digoxin Immune Fab (Ovine)
Ibritumomab,Ibritumomab tiuxetan
mAb Murine (IGG1) Anti P19437 (CD20_MOUSE),Ibritumomab tiuxetan
AbobotulinumtoxinA,Botulinum Toxin Type A
BoNT/A,Botulinum Toxin Type A
Bontoxilysin A,Botulinum Toxin Type A
Botulinum neurotoxin type A precursor,Botulinum Toxin Type A
BTX-A,Botulinum Toxin Type A
IncobotulinumtoxinA,Botulinum Toxin Type A
OnabotulinumtoxinA,Botulinum Toxin Type A
Pancrealipase,Pancrelipase
Pancreatic extract pancrelipase,Pancrelipase
Pancreatic protease,Pancrelipase
Pancreatin,Pancrelipase
Pancreatinum,Pancrelipase
Pancrelipase (amylase;lipase;protease),Pancrelipase
Streptokinase C precursor,Streptokinase
(111In)-Capromab pendetide,Capromab pendetide
Indium (111In) capromab pendetide,Capromab pendetide
Indium 111 Capromab Pendetide,Capromab pendetide
Indium In 111 capromab pendetide,Capromab pendetide
Alpha-L-iduronidase precursor,Laronidase
Ciclosporin,Cyclosporine
Ciclosporina,Cyclosporine
Ciclosporine,Cyclosporine
Ciclosporinum,Cyclosporine
CsA,Cyclosporine
CyA,Cyclosporine
Cyclosporin,Cyclosporine
Cyclosporin A,Cyclosporine
ASP0485,Alefacept
2-(L-phenylalanine)-8-L-lysinevasopressin,Felypressin
Felipresina,Felypressin
Felypressin,Felypressin
Felypressine,Felypressin
Felypressinum,Felypressin
PLV-2,Felypressin
Follitropin human,Urofollitropin
Urofollitrophin,Urofollitropin
anti alphaL integrin,Efalizumab
antiCD11 alpha,Efalizumab
hu1124,Efalizumab
Choriogonadotropin alpha,Choriogonadotropin alfa
Chorionic gonadotropin (recombinant),Choriogonadotropin alfa
Anti-human thymocyte immunoglobulin  rabbit,Antithymocyte immunoglobulin (rabbit)
Anti-T-lymphocyte immune globulin  rabbit,Antithymocyte immunoglobulin (rabbit)
Anti-thymocyte globulin (rabbit),Antithymocyte immunoglobulin (rabbit)
Anti-thymocyte globulin rabbit,Antithymocyte immunoglobulin (rabbit)
Antithymocyte immunoglobulin,Antithymocyte immunoglobulin (rabbit)
Rabbit anti-human thymocyte globulin,Antithymocyte immunoglobulin (rabbit)
Rabbit anti-human thymocyte globulin (rATG),Antithymocyte immunoglobulin (rabbit)
Rabbit anti-human thymocyte immunoglobulin,Antithymocyte immunoglobulin (rabbit)
Rabbit anti-thymocyte immunoglobulin,Antithymocyte immunoglobulin (rabbit)
Rabbit antithymocyte globulin,Antithymocyte immunoglobulin (rabbit)
Rabbit ATG,Antithymocyte immunoglobulin (rabbit)
rATG,Antithymocyte immunoglobulin (rabbit)
Thymoglobulin,Antithymocyte immunoglobulin (rabbit)
Thymoglobuline,Antithymocyte immunoglobulin (rabbit)
Filgrastim-sndz,Filgrastim
G-CSF ,Filgrastim
Granulocyte Colony Stimulating Factor ,Filgrastim
Tbo-filgrastim,Filgrastim
Coagulation factor IX (recombinant),Coagulation Factor IX (Recombinant)
Coagulation factor IX recombinant human,Coagulation Factor IX (Recombinant)
Factor IX (Recombinant),Coagulation Factor IX (Recombinant)
nonacog alfa,Coagulation Factor IX (Recombinant)
Recombinant factor IX,Coagulation Factor IX (Recombinant)
c-sis,Becaplermin
PDGF B-chain,Becaplermin
PDGF-2,Becaplermin
PDGF-BB,Becaplermin
PDGFB,Becaplermin
Platelet-derived growth factor B chain precursor,Becaplermin
Platelet-derived growth factor beta polypeptide,Becaplermin
SH-POLYPEPTIDE-59,Becaplermin
Agalsidase alfa,Agalsidase beta
Alpha-D- galactoside galactohydrolase,Agalsidase beta
Alpha-D-galactosidase A,Agalsidase beta
Alpha-galactosidase A precursor,Agalsidase beta
Melibiase,Agalsidase beta
Octreotida,Octreotide
Octreotidum,Octreotide
Octrotide,Octreotide
Interferon alfa-2b,Interferon Alfa-2b  Recombinant
Interferon Î±-2b,Interferon Alfa-2b  Recombinant
Intron (Interferon Î±2b),Interferon Alfa-2b  Recombinant
Intron A (Interferon Î±2b),Interferon Alfa-2b  Recombinant
rIFN-alpha-2b,Interferon Alfa-2b  Recombinant
Anti-alpha4 integrin,Natalizumab
Anti-VLA4,Natalizumab
Envelope polyprotein GP160 precursor [Contains: Exterior membrane glycoprotein GP120  Transmembrane glycoprotein GP41],Enfuvirtide
anti-RSV,Palivizumab
Dacliximab,Daclizumab
Daclizumab beta,Daclizumab
antiVEGF,Bevacizumab
bevacizumab-awwb,Bevacizumab
Arcitumomab technetium-99m,Technetium Tc-99m arcitumomab
Technetium (99mTc) arcitumomab,Technetium Tc-99m arcitumomab
Technetium Tc 99m arcitumomab,Technetium Tc-99m arcitumomab
Technetium-99m arcitumomab,Technetium Tc-99m arcitumomab
3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde,Pyridoxal Phosphate
3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate,Pyridoxal Phosphate
Codecarboxylase,Pyridoxal Phosphate
PLP,Pyridoxal Phosphate
Pyridoxal 5-monophosphoric acid ester,Pyridoxal Phosphate
Pyridoxal 5-phosphate,Pyridoxal Phosphate
Pyridoxal 5'-phosphate,Pyridoxal Phosphate
Pyridoxal P,Pyridoxal Phosphate
Pyridoxal phosphate anhydrous,Pyridoxal Phosphate
Pyridoxal-5P,Pyridoxal Phosphate
Pyridoxal-P,Pyridoxal Phosphate
Cyanocob(III)alamin,Cyanocobalamin
Vitamin B12,Cyanocobalamin
Vitamin B12 complex,Cyanocobalamin
Vitamin B12 NOS,Cyanocobalamin
5 6 7 8-tetrahydrofolate,Tetrahydrofolic acid
5 6 7 8-tetrahydrofolic acid,Tetrahydrofolic acid
Tetrahydrofolate,Tetrahydrofolic acid
(S)-4-(2-Amino-2-carboxyethyl)imidazole,L-Histidine
(S)-a-Amino-1H-imidazole-4-propanoic acid,L-Histidine
(S)-alpha-amino-1H-Imidazole-4-propanoic acid,L-Histidine
(S)-alpha-Amino-1H-imidazole-4-propionic acid,L-Histidine
(S)-Î±-amino-1H-Imidazole-4-propanoic acid,L-Histidine
H,L-Histidine
His,L-Histidine
Histidine,L-Histidine
L-(-)-Histidine,L-Histidine
L-(âˆ’)-histidine,L-Histidine
L-Histidin,L-Histidine
L-Histidine,L-Histidine
AdoMet,Ademetionine
S-Adenosylmethionine,Ademetionine
SAM,Ademetionine
SAM-e,Ademetionine
SAMe,Ademetionine
2-ketopropionic acid,Pyruvic acid
2-oxopropanoic acid,Pyruvic acid
2-OxopropansÃ_ure,Pyruvic acid
2-OxopropionsÃ_ure,Pyruvic acid
a-Ketopropionic acid,Pyruvic acid
Acetylformic acid,Pyruvic acid
acide pyruvique,Pyruvic acid
alpha-ketopropionic acid,Pyruvic acid
BrenztraubensÃ_ure,Pyruvic acid
BTS,Pyruvic acid
Pyroracemic acid,Pyruvic acid
Î±-ketopropionic acid,Pyruvic acid
Î±-OxopropionsÃ_ure,Pyruvic acid
(S)-2-Amino-3-phenylpropionic acid,L-Phenylalanine
(S)-alpha-Amino-beta-phenylpropionic acid,L-Phenylalanine
3-phenyl-L-alanine,L-Phenylalanine
beta-Phenyl-L-alanine,L-Phenylalanine
F,L-Phenylalanine
Phe,L-Phenylalanine
Phenylalanine,L-Phenylalanine
Î_-phenyl-L-alanine,L-Phenylalanine
(+)-cis-Hexahydro-2-oxo-1H-thieno[3 4]imidazole-4-valeric acid,Biotin
(3AS 4S 6ar)-hexahydro-2-oxo-1H-thieno[3 4-D]imidazole-4-valeric acid,Biotin
5-(2-Oxohexahydro-1H-thieno[3 4-D]imidazol-4-yl)pentanoic acid,Biotin
Biotin,Biotin
Biotina,Biotin
Biotine,Biotin
Biotinum,Biotin
cis-(+)-Tetrahydro-2-oxothieno[3 4]imidazoline-4-valeric acid,Biotin
cis-Hexahydro-2-oxo-1H-thieno(3 4)imidazole-4-valeric acid,Biotin
cis-Tetrahydro-2-oxothieno(3 4-D)imidazoline-4-valeric acid,Biotin
Coenzyme R,Biotin
D-(+)-Biotin,Biotin
D-Biotin,Biotin
D(+)-Biotin,Biotin
Vitamin B7,Biotin
Vitamin H,Biotin
Bilineurine,Choline
Choline,Choline
Choline ion,Choline
N-trimethylethanolamine,Choline
N N N-trimethylethanol-ammonium,Choline
trimethylethanolamine,Choline
(S)-2 6-diaminohexanoic acid,L-Lysine
(S)-lysine,L-Lysine
(S)-Î± Îµ-diaminocaproic acid,L-Lysine
6-ammonio-L-norleucine,L-Lysine
L-2 6-Diaminocaproic acid,L-Lysine
L-lys,L-Lysine
L-Lysin,L-Lysine
LYS,L-Lysine
Lysina,L-Lysine
Lysine,L-Lysine
Lysine acid,L-Lysine
Lysinum,L-Lysine
(2S)-2-amino-5-(carbamimidamido)pentanoic acid,L-Arginine
(2S)-2-amino-5-guanidinopentanoic acid,L-Arginine
(S)-2-amino-5-guanidinopentanoic acid,L-Arginine
(S)-2-Amino-5-guanidinovaleric acid,L-Arginine
Arg,L-Arginine
Arginine,L-Arginine
L-(+)-Arginine,L-Arginine
L-Arg,L-Arginine
L-Arginin,L-Arginine
R,L-Arginine
acide ascorbique,Vitamin C
Ã¡cido ascÃ_rbico,Vitamin C
acidum ascorbicum,Vitamin C
acidum ascorbinicum,Vitamin C
Ascorbate,Vitamin C
Ascorbic Acid,Vitamin C
Ascorbicap,Vitamin C
AscorbinsÃ_ure,Vitamin C
L-(+)-ascorbic acid,Vitamin C
L-Ascorbate,Vitamin C
L-Ascorbic Acid,Vitamin C
4 9-Diaza-1 12-dodecanediamine,Spermine
4 9-Diazadodecane-1 12-diamine,Spermine
N N'-Bis(3-aminopropyl)-1 4-butanediamine,Spermine
Spermine,Spermine
(S)-2-aminobutanedioic acid,L-Aspartic Acid
(S)-2-aminosuccinic acid,L-Aspartic Acid
2-Aminosuccinic acid,L-Aspartic Acid
Asp,L-Aspartic Acid
Aspartic acid,L-Aspartic Acid
D,L-Aspartic Acid
L-Asp,L-Aspartic Acid
L-Asparaginsaeure,L-Aspartic Acid
L-AsparaginsÃ_ure,L-Aspartic Acid
L-Aspartate,L-Aspartic Acid
L-Aspartic acid,L-Aspartic Acid
(S)-2 5-Diaminopentanoate,Ornithine
(S)-2 5-Diaminopentanoic acid,Ornithine
(S)-2 5-diaminovaleric acid,Ornithine
(S)-alpha delta-Diaminovaleric acid,Ornithine
(S)-ornithine,Ornithine
(S)-Î± Î´-diaminovaleric acid,Ornithine
L-Ornithine,Ornithine
levo-ornithine,Ornithine
(2S)-2-amino-4-carbamoylbutanoic acid,L-Glutamine
(2S)-2 5-diamino-5-oxopentanoic acid,L-Glutamine
(S)-2 5-diamino-5-oxopentanoic acid,L-Glutamine
Glutamic acid 5-amide,L-Glutamine
Glutamic acid amide,L-Glutamine
Glutamine,L-Glutamine
L-(+)-glutamine,L-Glutamine
L-2-aminoglutaramic acid,L-Glutamine
L-glutamic acid Î_-amide,L-Glutamine
L-Glutamin,L-Glutamine
L-GlutaminsÃ_ure-5-amid,L-Glutamine
Levoglutamide,L-Glutamine
Q,L-Glutamine
5'-Adenosine monophosphate,Adenosine monophosphate
5'-Adenylic acid,Adenosine monophosphate
5'-AMP,Adenosine monophosphate
5'-O-Phosphonoadenosine,Adenosine monophosphate
Adenosine 5'-(dihydrogen phosphate),Adenosine monophosphate
Adenosine 5'-monophosphate,Adenosine monophosphate
Adenosine 5'-phosphate,Adenosine monophosphate
ADENOSINE monophosphate,Adenosine monophosphate
Adenosine phosphate,Adenosine monophosphate
Adenosine-5'-Monophosphate,Adenosine monophosphate
Adenosine-5'-monophosphoric acid,Adenosine monophosphate
Adenosine-5'p,Adenosine monophosphate
Adenosini phosphas,Adenosine monophosphate
Adenylate,Adenosine monophosphate
Adenylic acid,Adenosine monophosphate
Ado5'p,Adenosine monophosphate
AMP,Adenosine monophosphate
Fosfato de adenosina,Adenosine monophosphate
PAdo,Adenosine monophosphate
Phosaden,Adenosine monophosphate
Phosphaden,Adenosine monophosphate
Phosphate d'adenosine,Adenosine monophosphate
(9 12 15)-linolenic acid,Alpha-Linolenic Acid
(9Z 12Z 15Z)-Octadecatrienoic acid,Alpha-Linolenic Acid
(Z Z Z)-9 12 15-octadecatrienoic acid,Alpha-Linolenic Acid
9-cis 12-cis 15-cis-octadecatrienoic acid,Alpha-Linolenic Acid
9 12 15-Octadecatrienoic acid,Alpha-Linolenic Acid
ALA,Alpha-Linolenic Acid
all-cis-9 12 15-Octadecatrienoic acid,Alpha-Linolenic Acid
